datetime,open,high,low,close,volume
2019-01-01T09:15:00+05:30,555.48,556.49,553.9,553.9,388676
2019-01-01T09:20:00+05:30,553.88,554.05,551.9,552.4,363354
2019-01-01T09:25:00+05:30,552.4,553.83,552.3,553.78,207504
2019-01-01T09:30:00+05:30,553.78,553.88,552.99,553.71,98048
2019-01-01T09:35:00+05:30,553.88,554.08,552.52,552.52,136238
2019-01-01T09:40:00+05:30,552.64,553.29,552.45,553.19,66652
2019-01-01T09:45:00+05:30,553.21,553.38,552.92,552.92,49110
2019-01-01T09:50:00+05:30,552.92,552.94,552.15,552.57,95528
2019-01-01T09:55:00+05:30,552.4,552.5,550.97,551.36,204038
2019-01-01T10:00:00+05:30,551.36,552.15,550.64,551.9,139180
2019-01-01T10:05:00+05:30,551.9,552.1,551.16,551.43,68414
2019-01-01T10:10:00+05:30,551.66,552.45,551.41,552.2,75386
2019-01-01T10:15:00+05:30,552.2,552.84,552.03,552.84,57840
2019-01-01T10:20:00+05:30,552.84,552.89,551.9,552.13,89364
2019-01-01T10:25:00+05:30,551.93,552.59,551.66,552.59,31394
2019-01-01T10:30:00+05:30,552.64,552.89,552.2,552.25,48128
2019-01-01T10:35:00+05:30,552.37,552.69,552.2,552.32,31222
2019-01-01T10:40:00+05:30,552.37,552.4,551.68,552.25,67134
2019-01-01T10:45:00+05:30,552.25,552.32,551.46,552.1,56894
2019-01-01T10:50:00+05:30,551.95,552.64,551.9,552.15,34566
2019-01-01T10:55:00+05:30,552.35,552.4,551.95,552.4,20706
2019-01-01T11:00:00+05:30,552.32,552.84,552.03,552.62,34210
2019-01-01T11:05:00+05:30,552.62,553.26,552.5,552.87,107846
2019-01-01T11:10:00+05:30,552.84,553.26,552.54,552.99,91934
2019-01-01T11:15:00+05:30,552.99,553.26,552.62,552.67,40830
2019-01-01T11:20:00+05:30,552.87,553.16,552.64,552.74,28686
2019-01-01T11:25:00+05:30,552.89,552.89,552.42,552.42,39646
2019-01-01T11:30:00+05:30,552.45,552.77,552.15,552.67,41988
2019-01-01T11:35:00+05:30,552.5,552.74,552.27,552.4,18826
2019-01-01T11:40:00+05:30,552.4,552.69,552.2,552.4,16280
2019-01-01T11:45:00+05:30,552.4,552.62,552.22,552.4,29954
2019-01-01T11:50:00+05:30,552.27,552.4,552.17,552.17,14004
2019-01-01T11:55:00+05:30,552.25,552.37,552.15,552.35,17072
2019-01-01T12:00:00+05:30,552.2,552.57,552.2,552.42,20342
2019-01-01T12:05:00+05:30,552.45,552.87,552.4,552.4,26838
2019-01-01T12:10:00+05:30,552.57,553.04,552.4,552.77,51828
2019-01-01T12:15:00+05:30,552.79,553.01,552.72,552.72,11270
2019-01-01T12:20:00+05:30,552.74,552.87,552.3,552.32,22564
2019-01-01T12:25:00+05:30,552.32,552.52,551.88,552.05,83042
2019-01-01T12:30:00+05:30,551.9,552.13,551.14,551.51,122148
2019-01-01T12:35:00+05:30,551.51,551.85,551.43,551.68,27422
2019-01-01T12:40:00+05:30,551.68,552.03,551.41,551.61,43388
2019-01-01T12:45:00+05:30,551.46,551.9,551.41,551.46,40066
2019-01-01T12:50:00+05:30,551.46,551.88,551.41,551.63,30564
2019-01-01T12:55:00+05:30,551.63,552.08,551.46,551.46,29076
2019-01-01T13:00:00+05:30,551.46,552.0,551.43,551.56,24472
2019-01-01T13:05:00+05:30,551.46,552.03,551.46,551.8,39944
2019-01-01T13:10:00+05:30,551.78,552.22,551.78,552.03,35844
2019-01-01T13:15:00+05:30,552.03,552.25,551.66,551.68,47076
2019-01-01T13:20:00+05:30,551.88,551.95,551.41,551.48,51806
2019-01-01T13:25:00+05:30,551.46,551.76,551.41,551.51,30026
2019-01-01T13:30:00+05:30,551.51,551.71,551.16,551.29,72282
2019-01-01T13:35:00+05:30,551.16,551.29,550.42,550.84,188008
2019-01-01T13:40:00+05:30,550.79,550.89,548.0,549.53,346158
2019-01-01T13:45:00+05:30,549.43,549.9,549.26,549.88,111410
2019-01-01T13:50:00+05:30,549.88,550.62,549.88,550.55,91094
2019-01-01T13:55:00+05:30,550.55,550.67,550.32,550.42,55488
2019-01-01T14:00:00+05:30,550.42,551.16,550.4,550.92,78508
2019-01-01T14:05:00+05:30,551.14,551.14,550.42,550.52,93162
2019-01-01T14:10:00+05:30,550.52,550.6,549.14,549.43,155026
2019-01-01T14:15:00+05:30,549.46,550.37,549.43,550.05,131454
2019-01-01T14:20:00+05:30,550.1,550.3,549.43,549.68,98374
2019-01-01T14:25:00+05:30,549.58,551.85,549.43,551.83,299304
2019-01-01T14:30:00+05:30,551.68,552.79,550.94,552.59,310844
2019-01-01T14:35:00+05:30,552.54,553.38,551.83,553.21,327460
2019-01-01T14:40:00+05:30,552.89,553.33,552.62,553.04,283672
2019-01-01T14:45:00+05:30,553.01,553.38,552.89,553.24,230082
2019-01-01T14:50:00+05:30,553.24,553.29,552.22,552.3,186768
2019-01-01T14:55:00+05:30,552.22,553.26,552.22,552.99,248200
2019-01-01T15:00:00+05:30,552.99,553.29,552.69,553.26,240336
2019-01-01T15:05:00+05:30,553.29,554.69,553.29,554.03,584236
2019-01-01T15:10:00+05:30,554.05,554.37,552.89,553.36,253060
2019-01-01T15:15:00+05:30,553.33,553.63,552.67,553.21,403624
2019-01-01T15:20:00+05:30,553.26,553.41,552.77,553.14,388670
2019-01-01T15:25:00+05:30,553.31,553.38,552.57,553.38,288976
2019-01-02T09:15:00+05:30,550.18,551.9,549.48,551.61,560628
2019-01-02T09:20:00+05:30,551.78,553.46,551.61,553.33,425042
2019-01-02T09:25:00+05:30,553.33,553.36,551.71,552.69,286676
2019-01-02T09:30:00+05:30,552.4,552.52,551.43,551.76,214574
2019-01-02T09:35:00+05:30,551.85,551.85,550.5,550.92,242476
2019-01-02T09:40:00+05:30,550.84,551.66,550.42,551.31,286556
2019-01-02T09:45:00+05:30,551.34,551.41,550.0,550.79,338610
2019-01-02T09:50:00+05:30,550.79,552.15,550.79,551.9,125946
2019-01-02T09:55:00+05:30,551.93,552.4,551.43,552.27,157936
2019-01-02T10:00:00+05:30,552.37,553.36,552.08,553.04,187802
2019-01-02T10:05:00+05:30,553.01,553.11,552.2,552.25,115788
2019-01-02T10:10:00+05:30,552.22,552.79,552.17,552.25,59630
