datetime,open,high,low,close,volume
2018-01-01T09:15:00+05:30,468.18,468.72,467.28,468.23,32984
2018-01-01T09:20:00+05:30,468.24,469.48,468.24,469.0,23692
2018-01-01T09:25:00+05:30,469.0,469.0,468.53,468.68,15084
2018-01-01T09:30:00+05:30,468.68,469.19,468.5,468.95,42740
2018-01-01T09:35:00+05:30,468.97,468.97,468.38,468.65,45568
2018-01-01T09:40:00+05:30,468.65,468.68,468.19,468.33,29928
2018-01-01T09:45:00+05:30,468.38,468.38,468.0,468.38,30796
2018-01-01T09:50:00+05:30,468.25,468.8,468.13,468.78,31636
2018-01-01T09:55:00+05:30,468.78,468.78,468.4,468.65,9896
2018-01-01T10:00:00+05:30,468.47,468.85,468.45,468.65,20460
2018-01-01T10:05:00+05:30,468.62,469.35,468.59,469.23,57748
2018-01-01T10:10:00+05:30,469.23,469.3,469.13,469.19,32004
2018-01-01T10:15:00+05:30,469.19,469.28,468.89,469.22,30896
2018-01-01T10:20:00+05:30,469.25,469.28,468.89,468.89,16804
2018-01-01T10:25:00+05:30,468.99,468.99,468.88,468.88,32900
2018-01-01T10:30:00+05:30,468.92,469.12,468.77,469.12,33192
2018-01-01T10:35:00+05:30,469.12,469.25,468.87,468.98,10312
2018-01-01T10:40:00+05:30,468.98,469.48,468.8,469.24,22000
2018-01-01T10:45:00+05:30,469.19,469.49,469.02,469.25,30688
2018-01-01T10:50:00+05:30,469.25,469.25,468.94,469.24,28552
2018-01-01T10:55:00+05:30,469.25,469.5,469.05,469.23,35636
2018-01-01T11:00:00+05:30,469.34,469.63,469.25,469.39,24948
2018-01-01T11:05:00+05:30,469.48,469.75,469.28,469.7,38464
2018-01-01T11:10:00+05:30,469.7,469.75,469.43,469.62,42144
2018-01-01T11:15:00+05:30,469.72,469.75,469.54,469.74,32976
2018-01-01T11:20:00+05:30,469.74,470.0,469.74,469.92,43684
2018-01-01T11:25:00+05:30,469.9,470.0,469.65,469.93,30196
2018-01-01T11:30:00+05:30,469.87,470.0,469.64,469.68,18860
