datetime,open,high,low,close,volume
2023-01-02T09:15:00+05:30,1514.0,1514.75,1508.25,1508.6,118803
2023-01-02T09:20:00+05:30,1509.15,1511.8,1506.2,1511.5,65472
2023-01-02T09:25:00+05:30,1511.5,1511.95,1506.5,1507.9,46089
2023-01-02T09:30:00+05:30,1507.3,1508.35,1504.05,1507.1,82374
2023-01-02T09:35:00+05:30,1506.65,1509.45,1506.0,1509.4,93748
2023-01-02T09:40:00+05:30,1509.4,1512.0,1508.35,1511.55,40438
2023-01-02T09:45:00+05:30,1511.9,1515.0,1510.5,1515.0,54521
2023-01-02T09:50:00+05:30,1515.0,1515.6,1514.25,1514.95,50038
2023-01-02T09:55:00+05:30,1514.5,1515.0,1512.4,1512.4,39567
2023-01-02T10:00:00+05:30,1512.6,1514.0,1512.25,1514.0,31803
2023-01-02T10:05:00+05:30,1514.0,1517.0,1513.55,1516.65,53762
2023-01-02T10:10:00+05:30,1516.65,1517.0,1514.05,1515.0,305717
2023-01-02T10:15:00+05:30,1514.75,1515.6,1512.9,1513.0,18087
2023-01-02T10:20:00+05:30,1513.5,1514.85,1513.25,1514.1,6184
2023-01-02T10:25:00+05:30,1514.1,1514.1,1512.0,1512.05,17479
2023-01-02T10:30:00+05:30,1512.5,1513.45,1510.0,1510.0,17480
2023-01-02T10:35:00+05:30,1510.3,1511.0,1509.0,1510.95,16948
2023-01-02T10:40:00+05:30,1510.5,1511.6,1509.8,1510.0,12297
2023-01-02T10:45:00+05:30,1510.0,1510.8,1509.0,1510.05,62467
2023-01-02T10:50:00+05:30,1510.2,1511.5,1510.0,1511.3,11921
2023-01-02T10:55:00+05:30,1511.3,1511.7,1510.75,1511.3,7161
2023-01-02T11:00:00+05:30,1511.4,1513.75,1510.35,1512.75,54626
2023-01-02T11:05:00+05:30,1513.4,1513.95,1512.65,1513.05,12054
2023-01-02T11:10:00+05:30,1513.05,1513.95,1513.0,1513.85,6745
2023-01-02T11:15:00+05:30,1513.85,1514.7,1513.05,1514.2,8822
2023-01-02T11:20:00+05:30,1514.25,1514.35,1513.2,1513.7,7091
2023-01-02T11:25:00+05:30,1513.5,1514.0,1513.15,1514.0,18451
2023-01-02T11:30:00+05:30,1513.95,1514.95,1513.8,1514.45,10122
2023-01-02T11:35:00+05:30,1514.2,1514.85,1513.0,1514.45,29336
2023-01-02T11:40:00+05:30,1514.55,1515.9,1514.3,1515.45,21518
2023-01-02T11:45:00+05:30,1515.0,1515.95,1514.95,1515.25,9663
2023-01-02T11:50:00+05:30,1515.05,1515.95,1513.15,1513.2,31315
2023-01-02T11:55:00+05:30,1513.05,1514.5,1513.05,1514.0,11958
2023-01-02T12:00:00+05:30,1514.0,1515.5,1514.0,1514.7,17112
2023-01-02T12:05:00+05:30,1515.1,1515.75,1514.0,1514.75,15479
2023-01-02T12:10:00+05:30,1514.75,1515.7,1514.5,1515.05,12865
2023-01-02T12:15:00+05:30,1515.05,1517.0,1515.05,1516.35,21817
2023-01-02T12:20:00+05:30,1516.35,1517.65,1516.15,1517.0,26789
2023-01-02T12:25:00+05:30,1517.5,1517.5,1515.25,1517.0,73753
2023-01-02T12:30:00+05:30,1517.15,1519.35,1517.0,1518.75,49465
2023-01-02T12:35:00+05:30,1518.95,1519.9,1518.5,1519.4,49560
2023-01-02T12:40:00+05:30,1519.05,1520.0,1518.85,1519.75,45846
2023-01-02T12:45:00+05:30,1519.75,1521.6,1519.25,1521.0,45548
2023-01-02T12:50:00+05:30,1521.25,1521.25,1518.1,1518.25,23335
2023-01-02T12:55:00+05:30,1518.25,1520.4,1517.0,1518.4,34721
2023-01-02T13:00:00+05:30,1518.4,1520.0,1518.05,1520.0,21763
2023-01-02T13:05:00+05:30,1520.0,1520.4,1519.0,1519.4,15572
2023-01-02T13:10:00+05:30,1519.75,1521.3,1519.0,1520.0,110964
2023-01-02T13:15:00+05:30,1519.5,1521.5,1519.3,1521.05,18602
2023-01-02T13:20:00+05:30,1521.05,1522.45,1521.0,1522.45,26007
2023-01-02T13:25:00+05:30,1522.45,1523.5,1521.8,1522.15,106861
2023-01-02T13:30:00+05:30,1522.15,1523.1,1522.0,1523.1,31508
2023-01-02T13:35:00+05:30,1523.0,1524.4,1522.75,1524.15,76005
2023-01-02T13:40:00+05:30,1524.1,1524.3,1522.4,1522.75,106895
2023-01-02T13:45:00+05:30,1522.7,1523.0,1522.15,1522.8,31338
2023-01-02T13:50:00+05:30,1522.95,1523.15,1522.4,1522.8,53080
2023-01-02T13:55:00+05:30,1522.8,1523.6,1522.65,1523.0,41159
2023-01-02T14:00:00+05:30,1523.15,1524.3,1523.0,1523.35,48210
2023-01-02T14:05:00+05:30,1523.35,1523.5,1523.0,1523.0,22559
2023-01-02T14:10:00+05:30,1523.0,1524.6,1523.0,1523.8,126190
2023-01-02T14:15:00+05:30,1524.0,1524.0,1517.25,1518.0,91703
2023-01-02T14:20:00+05:30,1517.55,1519.5,1515.8,1518.6,50450
2023-01-02T14:25:00+05:30,1518.5,1520.5,1518.5,1520.0,28616
2023-01-02T14:30:00+05:30,1520.3,1520.95,1519.45,1520.95,18514
2023-01-02T14:35:00+05:30,1521.0,1522.85,1520.0,1522.1,87907
2023-01-02T14:40:00+05:30,1522.0,1523.25,1520.75,1521.0,39364
2023-01-02T14:45:00+05:30,1521.5,1525.0,1520.85,1524.1,105438
2023-01-02T14:50:00+05:30,1524.1,1526.5,1524.1,1524.25,103529
2023-01-02T14:55:00+05:30,1524.45,1526.0,1523.45,1524.35,98641
2023-01-02T15:00:00+05:30,1524.35,1525.9,1522.5,1524.05,120069
2023-01-02T15:05:00+05:30,1523.85,1525.0,1522.4,1524.45,141731
2023-01-02T15:10:00+05:30,1525.15,1525.15,1522.55,1522.55,98938
2023-01-02T15:15:00+05:30,1522.5,1524.0,1522.5,1523.85,52622
2023-01-02T15:20:00+05:30,1524.0,1525.95,1523.35,1523.6,70629
2023-01-02T15:25:00+05:30,1524.15,1525.0,1523.3,1524.0,65929
2023-01-03T09:15:00+05:30,1519.85,1521.15,1515.1,1517.0,96422
2023-01-03T09:20:00+05:30,1517.25,1523.3,1516.6,1520.75,98990
